Subdomain,IP Address,Open Ports
gn.uit.edu.vn,45.122.249.78,"80, 443"
ngayphapluat.uit.edu.vn,118.69.123.140,"80, 443"
rms.uit.edu.vn,45.122.249.78,"80, 443"
tuyensinhsdh.uit.edu.vn,45.122.249.78,"80, 443"
dreamspark.uit.edu.vn,45.122.249.78,"80, 443"
live.uit.edu.vn,42.116.11.16,80
uhongdl.uit.edu.vn,118.69.123.140,"80, 443"
gaingon.uit.edu.vn,118.69.123.140,"80, 443"
traibao.uit.edu.vn,45.122.249.78,"80, 443"
daa1.uit.edu.vn,45.122.249.78,"80, 443"
dkhpapi.uit.edu.vn,45.122.249.75,443
dsc.uit.edu.vn,192.0.78.12,"80, 443"
elearning.uit.edu.vn,118.69.123.140,"80, 443"
aiclubcs.uit.edu.vn,118.69.123.140,"80, 443"
rmit.uit.edu.vn,118.69.123.140,"80, 443"
cfl.uit.edu.vn,45.122.249.78,"80, 443"
dev.uit.edu.vn,45.122.249.78,"80, 443"
bandl.uit.edu.vn,118.69.123.140,"80, 443"
cc62e73f33af4d5vlab2.uit.edu.vn,45.122.249.78,"80, 443"
ucpc.uit.edu.vn,118.69.123.140,"80, 443"
post.uit.edu.vn,45.122.249.78,"80, 443"
fce.uit.edu.vn,118.69.123.140,"80, 443"
ttpcdbcl.uit.edu.vn,118.69.123.140,"80, 443"
link.uit.edu.vn,118.69.123.140,"80, 443"
aiclub.uit.edu.vn,118.69.123.140,"80, 443"
competitions.uit.edu.vn,118.69.123.140,"80, 443"
chungthuc.uit.edu.vn,45.122.249.78,"80, 443"
tracnghiem.uit.edu.vn,118.69.123.140,"80, 443"
ts.uit.edu.vn,118.69.123.140,"80, 443"
cntt.uit.edu.vn,45.122.249.78,"80, 443"
ecommerce.uit.edu.vn,118.69.123.140,"80, 443"
khcn2.uit.edu.vn,118.69.123.140,"80, 443"
tcvaccine.uit.edu.vn,118.69.123.140,"80, 443"
xncovid.uit.edu.vn,118.69.123.140,"80, 443"
tech4covid.uit.edu.vn,45.122.249.78,"80, 443"
mapr.uit.edu.vn,118.69.123.140,"80, 443"
portal.uit.edu.vn,45.122.249.78,"80, 443"
apigwqa.uit.edu.vn,45.122.249.78,
135-208.uit.edu.vn,45.122.249.78,
hsts.uit.edu.vn,45.122.249.78,"80, 443"
log.uit.edu.vn,45.122.249.78,"80, 443"
service.uit.edu.vn,45.122.249.78,
com.uit.edu.vn,45.122.249.78,
forumbeta.uit.edu.vn,45.122.249.78,
alumni.uit.edu.vn,45.122.249.78,443
auth.uit.edu.vn,118.69.123.140,"80, 443"
cybertrain.uit.edu.vn,118.69.123.140,"80, 443"
danguy.uit.edu.vn,118.69.123.140,"80, 443"
dkhp.uit.edu.vn,45.122.249.75,"80, 443"
extensivereading.uit.edu.vn,45.122.249.78,"80, 443"
gmail.uit.edu.vn,118.69.123.140,"80, 443"
htt.uit.edu.vn,118.69.123.140,"80, 443"
islab.uit.edu.vn,118.69.123.140,"80, 443"
jobs.uit.edu.vn,118.69.123.140,"80, 443"
khoahoctre.uit.edu.vn,45.122.249.78,"80, 443"
lib.uit.edu.vn,118.69.123.140,"80, 443"
mmlab.uit.edu.vn,118.69.123.140,"80, 443"
mmt.uit.edu.vn,45.122.249.78,"80, 443"
netsens.uit.edu.vn,118.69.123.140,"80, 443"
qttb.uit.edu.vn,45.122.249.78,"80, 443"
sinhvien.uit.edu.vn,118.69.123.140,"80, 443"
sois2017.uit.edu.vn,45.122.249.78,"80, 443"
speechlab1.uit.edu.vn,45.122.249.78,
thuvien.uit.edu.vn,118.69.123.140,"80, 443"
tuoitre.uit.edu.vn,118.69.123.140,"80, 443"
tuyensinh.uit.edu.vn,45.122.249.78,"80, 443"
yuyxcvpliilit.uit.edu.vn,118.69.123.140,"80, 443"
phongdl.uit.edu.vn,118.69.123.140,"80, 443"
apiservice.uit.edu.vn,118.69.123.140,"80, 443"
iottestbed.uit.edu.vn,45.122.249.78,"80, 443"
qlhc.uit.edu.vn,45.122.249.78,
qldt.uit.edu.vn,45.122.249.78,"80, 443"
er.uit.edu.vn,45.122.249.78,
notebook.uit.edu.vn,45.122.249.78,"80, 443"
courses.uit.edu.vn,45.122.249.78,
ctf.uit.edu.vn,118.69.123.140,"80, 443"
khmt.uit.edu.vn,45.122.249.78,"80, 443"
congdoan.uit.edu.vn,45.122.249.78,
survey.uit.edu.vn,45.122.249.78,
fit.uit.edu.vn,45.122.249.78,
ce.uit.edu.vn,45.122.249.78,
forum.uit.edu.vn,118.69.123.140,"80, 443"
banqlcs.uit.edu.vn,45.122.249.78,"80, 443"
ctgt.uit.edu.vn,118.69.123.140,"80, 443"
nc.uit.edu.vn,45.122.249.78,"80, 443"
uit.edu.vn,118.69.123.140,"80, 443"
sdh.uit.edu.vn,118.69.123.140,"80, 443"
khcn.uit.edu.vn,45.122.249.78,"80, 443"
khtc.uit.edu.vn,118.69.123.140,"80, 443"
is.uit.edu.vn,118.69.123.140,"80, 443"
tchc.uit.edu.vn,45.122.249.78,"80, 443"
kse2015.uit.edu.vn,45.122.249.78,"80, 443"
